T07,"Enrolment in primary, secondary and tertiary education levels",,,,,
202,Sub-Saharan Africa,2017,Students enrolled in secondary education (thousands),"59,298.2662",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2017,Gross enrollment ratio - Secondary (male),45.5700,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2017,Gross enrollment ratio - Secondary (female),39.8959,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2017,Students enrolled in tertiary education (thousands),"8,034.0644",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2017,Gross enrollment ratio - Tertiary (male),10.4324,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2017,Gross enrollment ratio - Tertiary (female),7.5212,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2005,Students enrolled in primary education (thousands),"26,780.1000",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2005,Gross enrollement ratio - Primary (male),102.0348,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2005,Gross enrollment ratio - Primary (female),100.9583,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2005,Students enrolled in secondary education (thousands),"27,038.6160",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2005,Gross enrollment ratio - Secondary (male),94.9369,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2005,Gross enrollment ratio - Secondary (female),96.3176,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2005,Students enrolled in tertiary education (thousands),"18,631.4403",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2005,Gross enrollment ratio - Tertiary (male),66.9719,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2005,Gross enrollment ratio - Tertiary (female),94.8634,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2010,Students enrolled in primary education (thousands),"26,565.4970",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2010,Gross enrollement ratio - Primary (male),100.6205,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2010,Gross enrollment ratio - Primary (female),99.7377,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2010,Students enrolled in secondary education (thousands),"26,808.8230",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2010,Gross enrollment ratio - Secondary (male),95.1426,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2010,Gross enrollment ratio - Secondary (female),95.9206,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2010,Students enrolled in tertiary education (thousands),"21,859.1470",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2010,Gross enrollment ratio - Tertiary (male),75.2573,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2010,Gross enrollment ratio - Tertiary (female),104.8054,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2014,Students enrolled in primary education (thousands),"26,791.6350",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2014,Gross enrollement ratio - Primary (male),99.9480,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2014,Gross enrollment ratio - Primary (female),99.7354,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2014,Students enrolled in secondary education (thousands),"26,894.9590",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2014,Gross enrollment ratio - Secondary (male),97.5251,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2014,Gross enrollment ratio - Secondary (female),98.6168,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2014,Students enrolled in tertiary education (thousands),"21,279.0950",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2014,Gross enrollment ratio - Tertiary (male),73.5820,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2014,Gross enrollment ratio - Tertiary (female),99.9654,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2015,Students enrolled in primary education (thousands),"27,093.8080",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2015,Gross enrollement ratio - Primary (male),100.4857,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2015,Gross enrollment ratio - Primary (female),100.5278,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2015,Students enrolled in secondary education (thousands),"27,062.9008",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2015,Gross enrollment ratio - Secondary (male),98.3105,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2015,Gross enrollment ratio - Secondary (female),99.3083,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2015,Students enrolled in tertiary education (thousands),"21,096.8250",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
21,Northern America,2015,Gross enrollment ratio - Tertiary (male),73.8093,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
