T11,Expenditure on health,,,,,
112,Belarus,2005,Current health expenditure (% of GDP),6.2765,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
112,Belarus,2010,Current health expenditure (% of GDP),5.6569,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
112,Belarus,2014,Current health expenditure (% of GDP),5.3879,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
112,Belarus,2015,Current health expenditure (% of GDP),6.0653,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
112,Belarus,2016,Current health expenditure (% of GDP),6.3168,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
112,Belarus,2000,Domestic general government health expenditure (% of total government expenditure),12.1293,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
112,Belarus,2005,Domestic general government health expenditure (% of total government expenditure),10.0517,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
112,Belarus,2010,Domestic general government health expenditure (% of total government expenditure),8.6853,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
112,Belarus,2014,Domestic general government health expenditure (% of total government expenditure),8.6848,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
112,Belarus,2015,Domestic general government health expenditure (% of total government expenditure),8.4813,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
112,Belarus,2016,Domestic general government health expenditure (% of total government expenditure),8.4735,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
56,Belgium,2000,Current health expenditure (% of GDP),7.9420,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
56,Belgium,2005,Current health expenditure (% of GDP),8.9663,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
56,Belgium,2010,Current health expenditure (% of GDP),9.8411,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
56,Belgium,2014,Current health expenditure (% of GDP),10.3405,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
56,Belgium,2015,Current health expenditure (% of GDP),10.1056,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
56,Belgium,2016,Current health expenditure (% of GDP),10.0384,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
56,Belgium,2000,Domestic general government health expenditure (% of total government expenditure),12.9257,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
56,Belgium,2005,Domestic general government health expenditure (% of total government expenditure),14.3140,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
56,Belgium,2010,Domestic general government health expenditure (% of total government expenditure),15.1902,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
56,Belgium,2014,Domestic general government health expenditure (% of total government expenditure),15.4990,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
56,Belgium,2015,Domestic general government health expenditure (% of total government expenditure),15.6736,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
56,Belgium,2016,Domestic general government health expenditure (% of total government expenditure),15.8431,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
84,Belize,2000,Current health expenditure (% of GDP),3.9420,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
84,Belize,2005,Current health expenditure (% of GDP),4.2167,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
84,Belize,2010,Current health expenditure (% of GDP),5.7649,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
84,Belize,2014,Current health expenditure (% of GDP),5.6525,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
84,Belize,2015,Current health expenditure (% of GDP),5.8842,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
84,Belize,2016,Current health expenditure (% of GDP),6.1214,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
84,Belize,2000,Domestic general government health expenditure (% of total government expenditure),6.6025,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
84,Belize,2005,Domestic general government health expenditure (% of total government expenditure),8.5896,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
84,Belize,2010,Domestic general government health expenditure (% of total government expenditure),13.0378,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
84,Belize,2014,Domestic general government health expenditure (% of total government expenditure),10.3689,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
84,Belize,2015,Domestic general government health expenditure (% of total government expenditure),11.4447,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
84,Belize,2016,Domestic general government health expenditure (% of total government expenditure),12.4192,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
204,Benin,2000,Current health expenditure (% of GDP),4.2300,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
204,Benin,2005,Current health expenditure (% of GDP),4.0127,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
204,Benin,2010,Current health expenditure (% of GDP),4.0898,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
204,Benin,2014,Current health expenditure (% of GDP),3.6455,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
204,Benin,2015,Current health expenditure (% of GDP),3.9918,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
204,Benin,2016,Current health expenditure (% of GDP),3.8556,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
204,Benin,2000,Domestic general government health expenditure (% of total government expenditure),5.1598,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
204,Benin,2005,Domestic general government health expenditure (% of total government expenditure),4.8298,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
204,Benin,2010,Domestic general government health expenditure (% of total government expenditure),5.1466,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
204,Benin,2014,Domestic general government health expenditure (% of total government expenditure),4.0446,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
