T04,International migrants and refugees,,,,,
419,Latin America & the Caribbean,2005,International migrant stock: Both sexes (% total population),1.2886,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2005,International migrant stock: Male (% total Population),1.2942,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2005,International migrant stock: Female (% total Population),1.2844,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2010,International migrant stock: Both sexes (number),8246652.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2010,International migrant stock: Both sexes (% total population),1.3801,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2010,International migrant stock: Male (% total Population),1.3858,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2010,International migrant stock: Female (% total Population),1.3758,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2015,International migrant stock: Both sexes (number),9272027.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2015,International migrant stock: Both sexes (% total population),1.4662,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2015,International migrant stock: Male (% total Population),1.4728,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2015,International migrant stock: Female (% total Population),1.4613,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2015,Total refugees and people in refugee-like situations (number),336552.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
419,Latin America & the Caribbean,2015,"Asylum seekers, including pending cases (number)",37378.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
419,Latin America & the Caribbean,2015,Other of concern to UNHCR (number),6697290.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
419,Latin America & the Caribbean,2015,Total population of concern to UNHCR (number),7071220.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
419,Latin America & the Caribbean,2017,International migrant stock: Both sexes (number),9508189.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2017,International migrant stock: Both sexes (% total population),1.4728,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2017,International migrant stock: Male (% total Population),1.4797,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2017,International migrant stock: Female (% total Population),1.4676,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2017,Total refugees and people in refugee-like situations (number),323973.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
419,Latin America & the Caribbean,2017,"Asylum seekers, including pending cases (number)",117507.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
419,Latin America & the Caribbean,2017,Other of concern to UNHCR (number),7774202.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
419,Latin America & the Caribbean,2017,Total population of concern to UNHCR (number),8215682.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
419,Latin America & the Caribbean,2018,Total refugees and people in refugee-like situations (number),255038.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
419,Latin America & the Caribbean,2018,"Asylum seekers, including pending cases (number)",326870.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
419,Latin America & the Caribbean,2018,Other of concern to UNHCR (number),8676855.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
