X26,Water supply and sanitation services,,,,,
13,Central America,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",35.7303,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
5,South America,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",86.5123,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
5,South America,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",36.4299,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
5,South America,2005,"Safely managed drinking water sources, total (Proportion of population with access)",77.0447,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
5,South America,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",17.9561,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
5,South America,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",15.0765,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
5,South America,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",86.7144,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
5,South America,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",38.8374,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
5,South America,2010,"Safely managed drinking water sources, total (Proportion of population with access)",78.2742,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
5,South America,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",24.6066,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
5,South America,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",20.9454,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
5,South America,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",86.9365,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
5,South America,2017,"Safely managed drinking water sources, rural (Proportion of population with access)",41.8070,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
5,South America,2017,"Safely managed drinking water sources, total (Proportion of population with access)",79.6876,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
5,South America,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",36.4561,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
5,South America,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",31.5954,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
142,Asia,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",86.0864,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
142,Asia,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",46.7650,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
142,Asia,2005,"Safely managed drinking water sources, total (Proportion of population with access)",62.9474,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
142,Asia,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",27.2630,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
142,Asia,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",23.7234,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
142,Asia,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",29.8396,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
142,Asia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",86.1294,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
142,Asia,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",50.4071,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
142,Asia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",66.3929,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
142,Asia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",33.6895,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
142,Asia,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",31.9778,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
142,Asia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",32.7438,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
